uniprot_accession,organism_type,organism,gh_family,refseq_acc,fasta_path,fetch_url,fetch_status,fetch_error,sequence_length
B0C274,bacterial,Acaryochloris marina (strain MBIC 11017),GH10,WP_012163922.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012163922.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012163922.1&rettype=fasta&retmode=text,downloaded,,532
D1BKV8,bacterial,Sanguibacter keddieii (strain ATCC 51767 / DSM 10542 / NCFB 3025 / ST-74),GH10,WP_012867654.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012867654.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012867654.1&rettype=fasta&retmode=text,downloaded,,566
E4N6Z2,bacterial,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),GH10,WP_014134291.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014134291.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014134291.1&rettype=fasta&retmode=text,downloaded,,488
E4S4K4,bacterial,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),GH10,WP_013433135.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013433135.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013433135.1&rettype=fasta&retmode=text,downloaded,,407
E4QDJ6,bacterial,Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108),GH10,WP_013403767.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013403767.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013403767.1&rettype=fasta&retmode=text,downloaded,,407
Q89T09,bacterial,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),GH10,WP_011085029.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011085029.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011085029.1&rettype=fasta&retmode=text,downloaded,,355
B8HDP0,bacterial,Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus),GH10,WP_015937954.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015937954.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015937954.1&rettype=fasta&retmode=text,downloaded,,561
C7Q386,bacterial,Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),GH10,WP_015793551.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015793551.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015793551.1&rettype=fasta&retmode=text,downloaded,,778
D5KTJ5,bacterial,Cohnella laeviribosi,GH10,WP_429806670.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_429806670.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_429806670.1&rettype=fasta&retmode=text,downloaded,,340
D5UL25,bacterial,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),GH10,WP_013118238.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013118238.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013118238.1&rettype=fasta&retmode=text,downloaded,,829
A4XG17,bacterial,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),GH10,WP_011915817.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011915817.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011915817.1&rettype=fasta&retmode=text,downloaded,,408
E4SHW9,bacterial,Caldicellulosiruptor kronotskyensis (strain DSM 18902 / VKM B-2412 / 2002),GH10,WP_013431408.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013431408.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013431408.1&rettype=fasta&retmode=text,downloaded,,408
B8E346,bacterial,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),GH10,WP_012583995.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012583995.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012583995.1&rettype=fasta&retmode=text,downloaded,,323
B2ADU0,fungal,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina),GH10,XP_001903829.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_001903829.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_001903829.1&rettype=fasta&retmode=text,downloaded,,355
A9KQ55,bacterial,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),GH10,WP_012201018.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012201018.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012201018.1&rettype=fasta&retmode=text,downloaded,,321
A9KJ12,bacterial,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),GH10,WP_012198655.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012198655.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012198655.1&rettype=fasta&retmode=text,downloaded,,756
Q3MDD9,bacterial,Trichormus variabilis (strain ATCC 29413 / PCC 7937) (Anabaena variabilis),GH10,WP_011318200.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011318200.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011318200.1&rettype=fasta&retmode=text,downloaded,,382
A7Z9N2,bacterial,Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum),GH11,WP_012118650.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012118650.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012118650.1&rettype=fasta&retmode=text,downloaded,,213
B9ZZN9,bacterial,Bacillus subtilis,GH11,WP_015251938.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015251938.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015251938.1&rettype=fasta&retmode=text,downloaded,,213
Q5AWC9,fungal,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GH10,XP_680670.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_680670.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_680670.1&rettype=fasta&retmode=text,downloaded,,355
A9KJ59,bacterial,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),GH11,WP_012200125.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012200125.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012200125.1&rettype=fasta&retmode=text,downloaded,,212
B5YCB5,bacterial,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),GH11,WP_012547705.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012547705.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012547705.1&rettype=fasta&retmode=text,downloaded,,360
D5UQ92,bacterial,Tsukamurella paurometabola (strain ATCC 8368 / DSM 20162 / CCUG 35730 / CIP 100753 / JCM 10117 / KCTC 9821 / NBRC 16120 / NCIMB 702349 / NCTC 13040) (Corynebacterium paurometabolum),GH10,WP_013126884.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013126884.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013126884.1&rettype=fasta&retmode=text,downloaded,,381
D6Y4B1,bacterial,Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51),GH11,WP_013130698.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013130698.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013130698.1&rettype=fasta&retmode=text,downloaded,,334
B8I371,bacterial,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),GH11,WP_015925319.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015925319.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015925319.1&rettype=fasta&retmode=text,downloaded,,212
A9KJ62,bacterial,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),GH10,WP_012200128.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012200128.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012200128.1&rettype=fasta&retmode=text,downloaded,,806
D5UIQ2,bacterial,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),GH10,WP_013115885.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013115885.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013115885.1&rettype=fasta&retmode=text,downloaded,,1215
C7NT55,archaea,Halorhabdus utahensis (strain DSM 12940 / JCM 11049 / AX-2),GH11,WP_015789701.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015789701.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015789701.1&rettype=fasta&retmode=text,downloaded,,411
C7NT54,archaea,Halorhabdus utahensis (strain DSM 12940 / JCM 11049 / AX-2),GH11,WP_015789700.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015789700.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015789700.1&rettype=fasta&retmode=text,downloaded,,524
D7C6G6,bacterial,Streptomyces bingchenggensis (strain BCW-1),GH10,WP_014175660.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014175660.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014175660.1&rettype=fasta&retmode=text,downloaded,,476
Q8CJQ1,bacterial,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),GH10,WP_011030540.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011030540.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011030540.1&rettype=fasta&retmode=text,downloaded,,477
C6WS74,bacterial,Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101),GH10,WP_015803781.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015803781.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015803781.1&rettype=fasta&retmode=text,downloaded,,451
Q8GMV6,bacterial,Thermopolyspora flexuosa,GH10,WP_142258910.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_142258910.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_142258910.1&rettype=fasta&retmode=text,downloaded,,492
D6Y5E0,bacterial,Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51),GH10,WP_013132868.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013132868.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013132868.1&rettype=fasta&retmode=text,downloaded,,497
D7CCK0,bacterial,Streptomyces bingchenggensis (strain BCW-1),GH11,WP_014178195.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014178195.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014178195.1&rettype=fasta&retmode=text,downloaded,,229
D2QMX0,bacterial,Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896 / Claus 1),GH10,WP_012926005.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012926005.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012926005.1&rettype=fasta&retmode=text,downloaded,,370
A0LR95,bacterial,Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),GH10,WP_011719019.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011719019.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011719019.1&rettype=fasta&retmode=text,downloaded,,678
E5A1T3,fungal,Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam),GH10,XP_003841129.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_003841129.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_003841129.1&rettype=fasta&retmode=text,downloaded,,452
E0S2F5,bacterial,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),GH10,WP_013279437.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013279437.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013279437.1&rettype=fasta&retmode=text,downloaded,,1233
B2AV20,fungal,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina),GH10,XP_001907571.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_001907571.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_001907571.1&rettype=fasta&retmode=text,downloaded,,368
D1BXQ7,bacterial,Xylanimonas cellulosilytica (strain DSM 15894 / JCM 12276 / CECT 5975 / KCTC 9989 / LMG 20990 / NBRC 107835 / XIL07),GH10,WP_012879440.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012879440.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012879440.1&rettype=fasta&retmode=text,downloaded,,1242
C7PW30,bacterial,Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),GH10,WP_015793007.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015793007.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015793007.1&rettype=fasta&retmode=text,downloaded,,487
B1ZPQ7,bacterial,Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1),GH10,WP_012375047.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012375047.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012375047.1&rettype=fasta&retmode=text,downloaded,,382
D9QF36,bacterial,Brevundimonas subvibrioides (strain ATCC 15264 / DSM 4735 / LMG 14903 / NBRC 16000 / CB 81) (Caulobacter subvibrioides),GH10,WP_013268624.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013268624.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013268624.1&rettype=fasta&retmode=text,downloaded,,350
Q31ND9,bacterial,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),GH10,WP_011378019.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011378019.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011378019.1&rettype=fasta&retmode=text,downloaded,,373
Q21GI8,bacterial,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),GH10,WP_011469407.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011469407.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011469407.1&rettype=fasta&retmode=text,downloaded,,619
B5YA84,bacterial,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),GH10,WP_012547782.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012547782.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012547782.1&rettype=fasta&retmode=text,downloaded,,352
C7Q352,bacterial,Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),GH10,WP_015793517.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015793517.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015793517.1&rettype=fasta&retmode=text,downloaded,,490
C5BLA7,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015819532.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015819532.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015819532.1&rettype=fasta&retmode=text,downloaded,,629
B7K395,bacterial,Rippkaea orientalis (strain PCC 8801 / RF-1) (Cyanothece sp. (strain PCC 8801)),GH10,WP_012593692.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012593692.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012593692.1&rettype=fasta&retmode=text,downloaded,,521
C5BQL3,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015819666.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015819666.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015819666.1&rettype=fasta&retmode=text,downloaded,,411
P07528,bacterial,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),GH10,WP_010898277.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_010898277.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_010898277.1&rettype=fasta&retmode=text,downloaded,,396
D5UH90,bacterial,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),GH10,WP_013115627.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013115627.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013115627.1&rettype=fasta&retmode=text,downloaded,,495
A3DH97,bacterial,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),GH10,WP_003514230.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_003514230.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_003514230.1&rettype=fasta&retmode=text,downloaded,,760
C5BKG0,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015819954.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015819954.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015819954.1&rettype=fasta&retmode=text,downloaded,,397
D1CC70,bacterial,Thermobaculum terrenum (strain ATCC BAA-798 / CCMEE 7001 / YNP1),GH10,WP_012875420.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012875420.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012875420.1&rettype=fasta&retmode=text,downloaded,,371
A9BJ30,bacterial,Petrotoga mobilis (strain DSM 10674 / SJ95),GH10,WP_012208082.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012208082.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012208082.1&rettype=fasta&retmode=text,downloaded,,1041
C6XQH5,bacterial,Hirschia baltica (strain ATCC 49814 / DSM 5838 / IFAM 1418),GH10,WP_015828624.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015828624.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015828624.1&rettype=fasta&retmode=text,downloaded,,381
A5FIE5,bacterial,Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / BCRC 14874 / CCUG 350202 / NBRC 14942 / NCIMB 11054 / UW101) (Cytophaga johnsonae),GH10,WP_012024068.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012024068.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012024068.1&rettype=fasta&retmode=text,downloaded,,369
