uniprot_accession,organism_type,organism,gh_family,refseq_acc,fasta_path,fetch_url,fetch_status,fetch_error,sequence_length
E4S9X6,bacterial,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),GH10,WP_013431954.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013431954.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013431954.1&rettype=fasta&retmode=text,downloaded,,689
E4Q4B5,bacterial,Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),GH10,WP_013411487.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013411487.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013411487.1&rettype=fasta&retmode=text,downloaded,,689
E4QEC9,bacterial,Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108),GH10,WP_013403894.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013403894.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013403894.1&rettype=fasta&retmode=text,downloaded,,689
B9K766,bacterial,Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E),GH10,WP_015919118.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015919118.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015919118.1&rettype=fasta&retmode=text,downloaded,,346
B1ZMX2,bacterial,Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1),GH11,WP_012374937.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012374937.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012374937.1&rettype=fasta&retmode=text,downloaded,,221
D5BHG0,bacterial,Zunongwangia profunda (strain DSM 18752 / CCTCC AB 206139 / SM-A87) (Wangia profunda),GH10,WP_013072455.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013072455.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013072455.1&rettype=fasta&retmode=text,downloaded,,374
E4T4Y6,bacterial,Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4),GH10,WP_013445149.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013445149.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013445149.1&rettype=fasta&retmode=text,downloaded,,375
C5BTG8,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015816809.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015816809.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015816809.1&rettype=fasta&retmode=text,downloaded,,955
Q9WXS5,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),GH10,WP_004082568.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_004082568.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_004082568.1&rettype=fasta&retmode=text,downloaded,,347
A5IL00,bacterial,Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1),GH10,WP_011943438.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011943438.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011943438.1&rettype=fasta&retmode=text,downloaded,,347
D2C759,bacterial,Thermotoga petrophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10) (Thermotoga naphthophila),GH10,WP_012896107.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012896107.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012896107.1&rettype=fasta&retmode=text,downloaded,,344
E4SHI3,bacterial,Caldicellulosiruptor kronotskyensis (strain DSM 18902 / VKM B-2412 / 2002),GH10,WP_013431278.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013431278.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013431278.1&rettype=fasta&retmode=text,downloaded,,697
A6WB34,bacterial,Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216),GH10,WP_012087751.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012087751.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012087751.1&rettype=fasta&retmode=text,downloaded,,465
D1PCL8,bacterial,Segatella copri DSM 18205,GH10,WP_006847660.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_006847660.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_006847660.1&rettype=fasta&retmode=text,downloaded,,374
B8I7X1,bacterial,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),GH11,WP_015924295.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015924295.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015924295.1&rettype=fasta&retmode=text,downloaded,,298
E4Q2A2,bacterial,Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),GH10,WP_013411144.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013411144.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013411144.1&rettype=fasta&retmode=text,downloaded,,699
Q21PD4,bacterial,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),GH10,WP_011466669.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011466669.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011466669.1&rettype=fasta&retmode=text,downloaded,,574
E4RQT2,bacterial,Leadbetterella byssophila (strain DSM 17132 / JCM 16389 / KACC 11308 / NBRC 106382 / 4M15),GH10,WP_013408587.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013408587.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013408587.1&rettype=fasta&retmode=text,downloaded,,365
D2QE60,bacterial,Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896 / Claus 1),GH10,WP_012924967.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012924967.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012924967.1&rettype=fasta&retmode=text,downloaded,,366
E4T6U8,bacterial,Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4),GH10,WP_013445811.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013445811.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013445811.1&rettype=fasta&retmode=text,downloaded,,385
E4SE15,bacterial,Caldicellulosiruptor kronotskyensis (strain DSM 18902 / VKM B-2412 / 2002),GH10,WP_013429458.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013429458.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013429458.1&rettype=fasta&retmode=text,downloaded,,1672
A4XM52,bacterial,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),GH10,WP_011917909.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011917909.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011917909.1&rettype=fasta&retmode=text,downloaded,,700
C7R5M3,bacterial,Jonesia denitrificans (strain ATCC 14870 / DSM 20603 / BCRC 15368 / CIP 55.134 / JCM 11481 / NBRC 15587 / NCTC 10816 / Prevot 55134) (Listeria denitrificans),GH10,WP_015771924.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015771924.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015771924.1&rettype=fasta&retmode=text,downloaded,,1146
D1PFS8,bacterial,Segatella copri DSM 18205,GH10,WP_006848767.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_006848767.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_006848767.1&rettype=fasta&retmode=text,downloaded,,735
C5BMU2,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH11,WP_015818904.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015818904.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015818904.1&rettype=fasta&retmode=text,downloaded,,894
D7C774,bacterial,Streptomyces bingchenggensis (strain BCW-1),GH10,WP_014179878.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014179878.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014179878.1&rettype=fasta&retmode=text,downloaded,,358
B3PIN1,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),GH11,WP_012489333.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012489333.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012489333.1&rettype=fasta&retmode=text,downloaded,,661
E4NJK3,bacterial,Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae),GH10,WP_014140442.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_014140442.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_014140442.1&rettype=fasta&retmode=text,downloaded,,388
C6WMJ4,bacterial,Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101),GH10,WP_015801412.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015801412.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015801412.1&rettype=fasta&retmode=text,downloaded,,454
Q7S6C2,fungal,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),GH10,XP_960313.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_960313.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_960313.1&rettype=fasta&retmode=text,downloaded,,445
D5BGE5,bacterial,Zunongwangia profunda (strain DSM 18752 / CCTCC AB 206139 / SM-A87) (Wangia profunda),GH10,WP_013070256.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013070256.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013070256.1&rettype=fasta&retmode=text,downloaded,,386
D9TMZ9,bacterial,Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) (Clostridium thermosaccharolyticum),GH10,WP_013297490.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013297490.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013297490.1&rettype=fasta&retmode=text,downloaded,,1282
C5BRL9,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015817859.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015817859.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015817859.1&rettype=fasta&retmode=text,downloaded,,952
D7B7I8,bacterial,Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / CIP 107115 / JCM 7437 / KCTC 9190 / NBRC 14626 / NCTC 10488 / NRRL B-5397 / IMRU 509) (Actinomadura dassonvillei),GH10,WP_013154990.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013154990.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013154990.1&rettype=fasta&retmode=text,downloaded,,394
A3DJP0,bacterial,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),GH11,WP_020457977.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_020457977.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_020457977.1&rettype=fasta&retmode=text,downloaded,,683
A4XM47,bacterial,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),GH10,WP_011917904.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011917904.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011917904.1&rettype=fasta&retmode=text,downloaded,,312
Q482C3,bacterial,Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus),GH10,WP_011043189.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011043189.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011043189.1&rettype=fasta&retmode=text,downloaded,,386
E0RXQ0,bacterial,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),GH10,WP_013281131.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013281131.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013281131.1&rettype=fasta&retmode=text,downloaded,,434
D5EY24,bacterial,Xylanibacter ruminicola (strain ATCC 19189 / DSM 19721 / CIP 105475 / JCM 8958 / 23) (Prevotella ruminicola),GH10,WP_013063764.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013063764.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013063764.1&rettype=fasta&retmode=text,downloaded,,707
Q52307,bacterial,Xylanibacter ruminicola (Prevotella ruminicola),GH10,WP_074759841.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_074759841.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_074759841.1&rettype=fasta&retmode=text,downloaded,,707
E4Q5G9,bacterial,Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),GH10,WP_013412776.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013412776.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013412776.1&rettype=fasta&retmode=text,downloaded,,1675
Q21G61,bacterial,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),GH11,WP_011469534.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011469534.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011469534.1&rettype=fasta&retmode=text,downloaded,,767
A5FD49,bacterial,Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / BCRC 14874 / CCUG 350202 / NBRC 14942 / NCIMB 11054 / UW101) (Cytophaga johnsonae),GH10,WP_012025843.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012025843.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012025843.1&rettype=fasta&retmode=text,downloaded,,463
E4RWD4,bacterial,Leadbetterella byssophila (strain DSM 17132 / JCM 16389 / KACC 11308 / NBRC 106382 / 4M15),GH10,WP_013409048.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013409048.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013409048.1&rettype=fasta&retmode=text,downloaded,,359
A5FI54,bacterial,Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / BCRC 14874 / CCUG 350202 / NBRC 14942 / NCIMB 11054 / UW101) (Cytophaga johnsonae),GH10,WP_012024149.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012024149.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012024149.1&rettype=fasta&retmode=text,downloaded,,364
D9TIQ9,bacterial,Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / JCM 16842 / OB47),GH10,WP_013289896.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013289896.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013289896.1&rettype=fasta&retmode=text,downloaded,,688
P35811,bacterial,Fibrobacter succinogenes (strain ATCC 19169 / S85),GH11,WP_012820204.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012820204.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012820204.1&rettype=fasta&retmode=text,downloaded,,608
B1ZXE4,bacterial,Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1),GH10,WP_012376468.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012376468.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012376468.1&rettype=fasta&retmode=text,downloaded,,451
Q5BAS4,fungal,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GH10,XP_659960.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/XP_659960.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_659960.1&rettype=fasta&retmode=text,downloaded,,357
B8E3B3,bacterial,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),GH10,WP_012584062.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012584062.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012584062.1&rettype=fasta&retmode=text,downloaded,,1037
Q97TI5,bacterial,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),GH10,WP_010890800.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_010890800.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_010890800.1&rettype=fasta&retmode=text,downloaded,,318
Q97TP5,bacterial,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),GH10,WP_010890738.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_010890738.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_010890738.1&rettype=fasta&retmode=text,downloaded,,318
A9KPY5,bacterial,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),GH10,WP_012199538.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_012199538.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_012199538.1&rettype=fasta&retmode=text,downloaded,,520
B8I0L1,bacterial,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),GH10,WP_015924735.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015924735.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015924735.1&rettype=fasta&retmode=text,downloaded,,541
D7AWS0,bacterial,Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / CIP 107115 / JCM 7437 / KCTC 9190 / NBRC 14626 / NCTC 10488 / NRRL B-5397 / IMRU 509) (Actinomadura dassonvillei),GH10,WP_013153474.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013153474.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013153474.1&rettype=fasta&retmode=text,downloaded,,477
D5BGE4,bacterial,Zunongwangia profunda (strain DSM 18752 / CCTCC AB 206139 / SM-A87) (Wangia profunda),GH10,WP_013070255.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013070255.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013070255.1&rettype=fasta&retmode=text,downloaded,,564
E4T4X1,bacterial,Paludibacter propionicigenes (strain DSM 17365 / JCM 13257 / WB4),GH10,WP_013445134.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_013445134.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_013445134.1&rettype=fasta&retmode=text,downloaded,,405
C5BQQ4,bacterial,Teredinibacter turnerae (strain ATCC 39867 / T7901),GH10,WP_015820438.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_015820438.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_015820438.1&rettype=fasta&retmode=text,downloaded,,381
Q21HD6,bacterial,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),GH10,WP_011469110.1,/home/ubuntu/xylanase-thesis/data/refseq/frozen_thesis_fastas/WP_011469110.1.fasta,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=WP_011469110.1&rettype=fasta&retmode=text,downloaded,,374
